Ahli	ahli	PROPN	Number=Sing
Ahli	ahli	NOUN	Number=Sing
rekayasa	rekayasa	NOUN	Number=Sing
optik	optik	NOUN	Number=Sing
optik	optik	ADJ	Number=Sing
mendesain	mendesain	VERB	Number=Sing|Voice=Act
komponen	komponen	NOUN	Number=Sing
dari	dari	ADP	_
dari	dari	CCONJ	_
dari	dari	PROPN	_
instrumen	instrumen	NOUN	Number=Sing
seperti	seperti	ADP	_
seperti	seperti	SCONJ	_
lensa	lensa	NOUN	Number=Sing
,	,	PUNCT	_
mikroskop	mikroskop	NOUN	Number=Sing
teleskop	teleskop	NOUN	Number=Sing
dan	dan	CCONJ	_
dan	dan	PROPN	_
peralatan	peralatan	NOUN	Number=Sing
lainnya	lainnya	ADJ	_
lainnya	lainnya	NOUN	_
lainnya	lainnya	DET	_
yang	yang	PRON	PronType=Rel
yang	yang	CCONJ	_
yang	yang	PART	_
mendukung	mendukung	VERB	Number=Sing|Voice=Act
mendukung	mendukung	NOUN	Number=Sing|Voice=Act
sifat	sifat	NOUN	Number=Sing
cahaya	cahaya	NOUN	Number=Sing
.	.	PUNCT	_
.	.	PROPN	_
Wisma	wisma	PROPN	Number=Sing
Kalla	kalla	PROPN	_
terletak	terletak	VERB	Number=Sing|Voice=Pass
di	di	ADP	_
di	di	CCONJ	_
di	di	PROPN	_
di	di	VERB	_
di	di	SCONJ	_
di	di	X	_
kota	kota	NOUN	Number=Sing
kota	kota	PROPN	Number=Sing
makassar	makassar	ADJ	_
tak	tak	ADV	Polarity=Neg
tak	tak	PART	Polarity=Neg
tak	tak	ADV	_
jauh	jauh	ADJ	Degree=Pos|Number=Sing
jauh	jauh	ADP	Degree=Pos|Number=Sing
jauh	jauh	ADV	Degree=Pos|Number=Sing
pantai	pantai	NOUN	Number=Sing
pantai	pantai	PROPN	Number=Sing
Losari	losari	PROPN	_
Makassar	makassar	PROPN	_
dengat	dengat	ADJ	_
dengan	dengan	ADP	_
dengan	dengan	CCONJ	_
lapangan	lapangan	NOUN	Number=Sing
Karebosi	karebosi	PROPN	_
dekat	dekat	ADJ	Degree=Pos|Number=Sing
dekat	dekat	PRON	Degree=Pos|Number=Sing
Mal	mal	PROPN	_
Mal	mal	NOUN	_
Ratu	ratu	PROPN	Number=Sing
Indah	indah	PROPN	Degree=Pos|Number=Sing
juga	juga	ADV	_
juga	juga	CCONJ	_
juga	juga	ADP	_
kawasan	kawasan	NOUN	Number=Sing
Trans	trans	PROPN	_
Trans	trans	NOUN	_
Studio	studio	PROPN	Number=Sing
Hal	hal	NOUN	Number=Sing
tersebut	tersebut	DET	PronType=Dem
dapat	dapat	ADV	_
dapat	dapat	ADV	Number=Sing|Voice=Act
dapat	dapat	VERB	Number=Sing|Voice=Act
dilihat	dilihat	VERB	Number=Sing|Voice=Pass
dalam	dalam	ADP	Degree=Pos|Number=Sing
dalam	dalam	NOUN	Degree=Pos|Number=Sing
dalam	dalam	ADJ	Degree=Pos|Number=Sing
dalam	dalam	ADP	_
dalam	dalam	NOUN	_
dalam	dalam	ADJ	_
dalam	dalam	PROPN	Degree=Pos|Number=Sing
beberapa	beberapa	DET	NumType=Card|PronType=Ind
beberapa	beberapa	PRON	NumType=Card|PronType=Ind
contoh	contoh	NOUN	Number=Sing
karya	karya	NOUN	Number=Sing
mereka	mereka	PRON	Number=Plur|Person=3|PronType=Prs
“	“	PUNCT	_
Rietvield	rietvield	PROPN	_
Schroeder	schroeder	PROPN	_
House	house	PROPN	_
serta	serta	CCONJ	_
serta	serta	ADV	_
serta	serta	VERB	_
serta	serta	SCONJ	_
serta	serta	ADJ	_
serta	serta	ADP	_
Red	red	PROPN	_
Blue	blue	PROPN	_
Chair	chair	PROPN	_
”	”	PUNCT	_
Gaya	gaya	NOUN	Number=Sing
Gaya	gaya	PROPN	Number=Sing
de	de	PROPN	_
de	de	ADP	_
Stijl	stijl	PROPN	_
telah	telah	ADV	_
disebutkan	disebutkan	VERB	Number=Sing|Voice=Pass
awal	awal	NOUN	Number=Sing
awal	awal	ADJ	Number=Sing
awal	awal	ADV	Number=Sing
memengaruhi	memengaruhi	VERB	_
gaya	gaya	NOUN	Number=Sing
Bauhaus	bauhaus	PROPN	_
arsitektur	arsitektur	NOUN	Number=Sing
Internasional	internasional	PROPN	Degree=Pos|Number=Sing
Internasional	internasional	ADJ	Degree=Pos|Number=Sing
desain	desain	NOUN	Number=Sing
interior	interior	NOUN	Number=Sing
fashion	fashion	PROPN	_
dunia	dunia	NOUN	Number=Sing
dunia	dunia	VERB	Number=Sing
Sedangkan	sedangkan	SCONJ	_
Sedangkan	sedangkan	CCONJ	_
Sedangkan	sedangkan	PRON	PronType=Rel
Permintaan	permintaan	PROPN	Number=Sing
adalah	adalah	AUX	_
adalah	adalah	VERB	_
keinginan	keinginan	NOUN	Number=Sing
akan	akan	ADV	_
akan	akan	CCONJ	_
akan	akan	ADP	_
sesuatu	sesuatu	NOUN	Number=Sing
sesuatu	sesuatu	DET	Number=Sing
didukung	didukung	VERB	Number=Sing|Voice=Pass
kemampuan	kemampuan	NOUN	Number=Sing
kesediaan	kesediaan	NOUN	Number=Sing
membelinya	menbeli	PART	Number=Sing|Number[psor]=Sing|Person[psor]=3|Voice=Act
Let	let	PROPN	_
It	it	PROPN	_
Shine	shine	PROPN	_
film	film	NOUN	Number=Sing
film	film	PROPN	Number=Sing
televisi	televisi	NOUN	Number=Sing
2012	2012	NUM	NumType=Card
Delapn	delapn	NUM	NumType=Card
tim	tim	NOUN	Number=Sing
bersaing	bersaing	VERB	Number=Sing|Voice=Act
pada	pada	ADP	_
putaran	putaran	NOUN	Number=Sing
pertama	pertama	NUM	NumType=Card
pertama	pertama	ADJ	_
musim	musim	NOUN	Number=Sing
;	;	PUNCT	_
tujuh	tujuh	NUM	NumType=Card
Sydney	sydney	PROPN	_
satu	satu	DET	_
satu	satu	NUM	NumType=Card
satu	satu	NOUN	_
satu	satu	ADJ	_
Newcastle	newcastle	PROPN	_
Struktur	struktur	PROPN	Number=Sing
Struktur	struktur	NOUN	Number=Sing
Organisasi	organisasi	PROPN	Number=Sing
Organisasi	organisasi	NOUN	Number=Sing
program	program	NOUN	Number=Sing
Studi	studi	PROPN	Number=Sing
Studi	studi	NOUN	Number=Sing
Studi	studi	ADP	Number=Sing
susun	susun	VERB	Number=Sing|Voice=Act
susun	susun	NOUN	Number=Sing|Voice=Act
untuk	untuk	ADP	_
untuk	untuk	PROPN	_
mengakomodasi	menakomodasi	VERB	Number=Sing|Voice=Act
pendelegasian	pendelegasian	NOUN	Number=Sing
wewenang	wewenang	NOUN	Number=Sing
pembagian	penbagian	NOUN	Number=Sing
tugas	tugas	NOUN	Number=Sing
fleksibilitas	fleksibilitas	NOUN	Number=Sing
aktifitas	aktifitas	NOUN	Number=Sing
pengembangan	penkembangan	NOUN	Number=Sing
studi	studi	NOUN	Number=Sing
studi	studi	ADP	Number=Sing
Masa	masa	NOUN	Number=Sing
pendidikan	pendidikan	NOUN	Number=Sing
hampir	hampir	ADV	_
hampir	hampir	NOUN	_
sama	sama	ADJ	Degree=Pos|Number=Sing
sama	sama	ADV	Degree=Pos|Number=Sing
sama	sama	CCONJ	Degree=Pos|Number=Sing
